classifier, best_representing_words_list, counter_vector, not_count, parts_of_speech, polarity_count, polarity_vocabulary, remove_stop_words, surrounding_words, text_to_vector_uni_vocabulary, tf_idf_vector, uni_gram, total_accuracy, 0_accuracy, 1_accuracy, 3_accuracy
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 54.9019607843, 67.6470588235, 52.9411764706, 44.1176470588
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 32.3529411765, 20.5882352941, 58.8235294118, 17.6470588235
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 23.5294117647, 44.1176470588, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 32.3529411765, 38.2352941176, 35.2941176471, 23.5294117647
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 31.3725490196, 17.6470588235, 44.1176470588, 32.3529411765
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 32.3529411765, 35.2941176471, 44.1176470588, 17.6470588235
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 47.0588235294, 61.7647058824, 41.1764705882, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 58.8235294118, 58.8235294118, 38.2352941176
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 51.9607843137, 55.8823529412, 55.8823529412, 44.1176470588
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 52.9411764706, 73.5294117647, 47.0588235294, 38.2352941176
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 26.4705882353, 44.1176470588, 38.2352941176
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 32.3529411765, 20.5882352941, 58.8235294118, 17.6470588235
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 36.2745098039, 23.5294117647, 44.1176470588, 41.1764705882
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, False, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 33.3333333333, 47.0588235294, 32.3529411765, 20.5882352941
